Year,Neighborhood,GeoCode,Value
2008,,,11.7
2011,,,12.1
2017,,,10.4
2008,Allendale,2.0,16.1
2011,Allendale,2.0,15.0
2017,Allendale,2.0,10.6
2008,Arlington,4.0,13.7
2011,Arlington,4.0,14.9
2017,Arlington,4.0,20.0
2008,Armistead Gardens,5.0,9.8
2011,Armistead Gardens,5.0,4.4
2017,Armistead Gardens,5.0,8.6
2008,Ashburton,6.0,11.4
2011,Ashburton,6.0,6.8
2017,Ashburton,6.0,6.4
2008,Patterson Park Neighborhood,8.0,12.6
2011,Patterson Park Neighborhood,8.0,8.8
2017,Patterson Park Neighborhood,8.0,10.9
2008,Barclay,9.0,10.2
2011,Barclay,9.0,12.9
2017,Barclay,9.0,11.4
2008,Beechfield,11.0,18.1
2011,Beechfield,11.0,15.3
2017,Beechfield,11.0,8.4
2008,Berea,14.0,10.7
2011,Berea,14.0,16.8
2017,Berea,14.0,14.8
2008,Brooklyn,25.0,10.0
2011,Brooklyn,25.0,7.1
2017,Brooklyn,25.0,9.0
2008,Canton,30.0,4.7
2011,Canton,30.0,6.0
2017,Canton,30.0,3.2
2008,Carroll-South Hilton,34.0,16.1
2011,Carroll-South Hilton,34.0,15.0
2017,Carroll-South Hilton,34.0,10.6
2008,Cedonia,38.0,11.6
2011,Cedonia,38.0,12.5
2017,Cedonia,38.0,12.2
2008,Cherry Hill,42.0,14.3
2011,Cherry Hill,42.0,12.4
2017,Cherry Hill,42.0,18.8
2008,Cheswolde,43.0,5.8
2011,Cheswolde,43.0,6.7
2017,Cheswolde,43.0,5.4
2008,Chinquapin Park,44.0,16.1
2011,Chinquapin Park,44.0,12.5
2017,Chinquapin Park,44.0,9.0
2008,Clifton Park,46.0,10.7
2011,Clifton Park,46.0,16.8
2017,Clifton Park,46.0,14.8
2008,Coldspring,47.0,19.2
2011,Coldspring,47.0,14.5
2017,Coldspring,47.0,0.0
2008,Coldstream Homestead Montebello,48.0,16.7
2011,Coldstream Homestead Montebello,48.0,14.8
2017,Coldstream Homestead Montebello,48.0,13.0
2008,Cross Country,51.0,5.8
2011,Cross Country,51.0,6.7
2017,Cross Country,51.0,5.4
2008,Curtis Bay,53.0,10.0
2011,Curtis Bay,53.0,7.1
2017,Curtis Bay,53.0,9.0
2008,Dickeyville,57.0,31.4
2011,Dickeyville,57.0,30.5
2017,Dickeyville,57.0,13.2
2008,Dorchester,59.0,11.4
2011,Dorchester,59.0,6.8
2017,Dorchester,59.0,6.4
2008,Downtown,60.0,6.5
2011,Downtown,60.0,9.5
2017,Downtown,60.0,8.4
2008,Druid Heights,61.0,14.3
2011,Druid Heights,61.0,15.0
2017,Druid Heights,61.0,10.0
2008,East Baltimore Midway,66.0,16.7
2011,East Baltimore Midway,66.0,14.8
2017,East Baltimore Midway,66.0,13.0
2008,Edmondson Village,69.0,19.0
2011,Edmondson Village,69.0,10.0
2017,Edmondson Village,69.0,9.8
2008,Fallstaff,76.0,5.1
2011,Fallstaff,76.0,3.7
2017,Fallstaff,76.0,9.7
2008,Federal Hill,77.0,2.5
2011,Federal Hill,77.0,5.1
2017,Federal Hill,77.0,3.3
2008,Fells Point,78.0,7.2
2011,Fells Point,78.0,7.1
2017,Fells Point,78.0,5.7
2008,Forest Park,79.0,18.0
2011,Forest Park,79.0,12.4
2017,Forest Park,79.0,10.6
2008,Frankford,81.0,11.6
2011,Frankford,81.0,12.5
2017,Frankford,81.0,12.2
2008,Franklintown,83.0,31.4
2011,Franklintown,83.0,30.5
2017,Franklintown,83.0,13.2
2008,Glen,87.0,5.1
2011,Glen,87.0,3.7
2017,Glen,87.0,9.7
2008,Greenmount Cemetery,92.0,21.3
2011,Greenmount Cemetery,92.0,15.7
2017,Greenmount Cemetery,92.0,16.2
2008,Greenmount West,93.0,21.3
2011,Greenmount West,93.0,15.7
2017,Greenmount West,93.0,16.2
2008,Guilford,96.0,3.6
2011,Guilford,96.0,6.2
2017,Guilford,96.0,1.5
2008,Hampden,99.0,8.6
2011,Hampden,99.0,8.1
2017,Hampden,99.0,6.9
2008,Hamilton Hills,101.0,14.4
2011,Hamilton Hills,101.0,18.8
2017,Hamilton Hills,101.0,13.4
2008,Harlem Park,102.0,18.7
2011,Harlem Park,102.0,21.2
2017,Harlem Park,102.0,10.1
2008,Hawkins Point,104.0,10.0
2011,Hawkins Point,104.0,7.1
2017,Hawkins Point,104.0,9.0
2008,Highlandtown,107.0,8.1
2011,Highlandtown,107.0,4.8
2017,Highlandtown,107.0,10.3
2008,Hollins Market,111.0,20.8
2011,Hollins Market,111.0,13.0
2017,Hollins Market,111.0,15.4
2008,Homeland,112.0,3.6
2011,Homeland,112.0,6.2
2017,Homeland,112.0,1.5
2008,Howard Park,114.0,8.3
2011,Howard Park,114.0,7.8
2017,Howard Park,114.0,5.9
2008,Inner Harbor,117.0,2.5
2011,Inner Harbor,117.0,5.1
2017,Inner Harbor,117.0,3.3
2008,Irvington,118.0,16.1
2011,Irvington,118.0,15.0
2017,Irvington,118.0,10.6
2008,Jonestown,122.0,4.7
2011,Jonestown,122.0,12.1
2008,Lakeland,130.0,11.1
2011,Lakeland,130.0,19.8
2017,Lakeland,130.0,3.5
2008,Lauraville,132.0,13.1
2011,Lauraville,132.0,17.9
2017,Lauraville,132.0,4.2
2017,Little Italy,135.0,16.7
2008,Loch Raven,136.0,6.4
2011,Loch Raven,136.0,9.8
2017,Loch Raven,136.0,14.2
2008,Madison-Eastend,143.0,14.8
2011,Madison-Eastend,143.0,16.7
2017,Madison-Eastend,143.0,12.1
2008,Medfield,146.0,8.6
2011,Medfield,146.0,8.1
2017,Medfield,146.0,6.9
2008,Mid-Govans,148.0,6.9
2011,Mid-Govans,148.0,10.6
2017,Mid-Govans,148.0,5.7
2008,Mid-Town Belvedere,149.0,12.0
2011,Mid-Town Belvedere,149.0,11.5
2017,Mid-Town Belvedere,149.0,9.7
2008,Middle East,151.0,8.8
2011,Middle East,151.0,8.8
2017,Middle East,151.0,12.6
2008,Mondawmin,155.0,18.1
2011,Mondawmin,155.0,18.5
2017,Mondawmin,155.0,5.2
2008,Morrell Park,160.0,8.5
2011,Morrell Park,160.0,6.2
2017,Morrell Park,160.0,8.2
2008,Mount Washington,165.0,19.2
2011,Mount Washington,165.0,14.5
2017,Mount Washington,165.0,0.0
2008,Mount Winans,166.0,11.1
2011,Mount Winans,166.0,19.8
2017,Mount Winans,166.0,3.5
2008,New Northwood,168.0,13.2
2011,New Northwood,168.0,12.0
2017,New Northwood,168.0,14.1
2008,North Harford Road,169.0,9.9
2011,North Harford Road,169.0,9.9
2017,North Harford Road,169.0,2.6
2008,North Roland Park/Poplar Hill,170.0,9.0
2011,North Roland Park/Poplar Hill,170.0,6.7
2017,North Roland Park/Poplar Hill,170.0,3.6
2008,Oldtown,175.0,4.7
2011,Oldtown,175.0,12.1
2017,Oldtown,175.0,12.6
2008,Orangeville,177.0,3.6
2011,Orangeville,177.0,1.1
2017,Orangeville,177.0,10.3
2008,Orangeville Industrial Area,178.0,3.6
2011,Orangeville Industrial Area,178.0,1.1
2017,Orangeville Industrial Area,178.0,10.3
2008,Original Northwood,179.0,13.2
2011,Original Northwood,179.0,12.0
2017,Original Northwood,179.0,14.1
2008,Patterson Park,187.0,12.6
2011,Patterson Park,187.0,8.8
2017,Patterson Park,187.0,10.9
2008,Penn North,190.0,10.0
2011,Penn North,190.0,12.6
2017,Penn North,190.0,9.9
2008,Perkins Homes,193.0,8.8
2011,Perkins Homes,193.0,8.8
2008,Pimlico Good Neighbors,195.0,13.7
2011,Pimlico Good Neighbors,195.0,14.9
2017,Pimlico Good Neighbors,195.0,20.0
2008,Poppleton,197.0,20.8
2011,Poppleton,197.0,13.0
2017,Poppleton,197.0,15.4
2008,Remington,204.0,8.6
2011,Remington,204.0,8.1
2017,Remington,204.0,6.9
2008,Reservoir Hill,205.0,10.0
2011,Reservoir Hill,205.0,12.6
2017,Reservoir Hill,205.0,9.9
2008,Roland Park,210.0,9.0
2011,Roland Park,210.0,6.7
2017,Roland Park,210.0,3.6
2008,Rosemont,212.0,11.3
2011,Rosemont,212.0,13.8
2017,Rosemont,212.0,11.3
2008,Rosemont East,213.0,11.3
2011,Rosemont East,213.0,13.8
2017,Rosemont East,213.0,11.3
2008,Rosemont Homeowners/Tenants,214.0,11.3
2011,Rosemont Homeowners/Tenants,214.0,13.8
2017,Rosemont Homeowners/Tenants,214.0,11.3
2008,Sandtown-Winchester,220.0,18.7
2011,Sandtown-Winchester,220.0,21.2
2017,Sandtown-Winchester,220.0,10.1
2008,South Baltimore,221.0,7.7
2011,South Baltimore,221.0,8.8
2017,South Baltimore,221.0,1.5
2008,Seton Hill,223.0,6.5
2011,Seton Hill,223.0,9.5
2017,Seton Hill,223.0,8.4
2008,South Clifton Park,226.0,10.7
2011,South Clifton Park,226.0,16.8
2017,South Clifton Park,226.0,14.8
2008,Ten Hills,231.0,18.1
2011,Ten Hills,231.0,15.3
2017,Ten Hills,231.0,8.4
2008,Upton,240.0,14.3
2011,Upton,240.0,15.0
2017,Upton,240.0,10.0
2008,Violetville,242.0,8.5
2011,Violetville,242.0,6.2
2017,Violetville,242.0,8.2
2008,Walbrook,244.0,18.0
2011,Walbrook,244.0,12.4
2017,Walbrook,244.0,10.6
2008,Washington Village/Pigtown,247.0,11.2
2011,Washington Village/Pigtown,247.0,12.6
2017,Washington Village/Pigtown,247.0,4.6
2008,Waverly,248.0,7.5
2011,Waverly,248.0,11.1
2017,Waverly,248.0,12.0
2008,West Arlington,249.0,8.3
2011,West Arlington,249.0,7.8
2017,West Arlington,249.0,5.9
2008,West Hills,251.0,18.1
2011,West Hills,251.0,15.3
2017,West Hills,251.0,8.4
2008,Westport,254.0,11.1
2011,Westport,254.0,19.8
2017,Westport,254.0,3.5
2008,Winston-Govans,258.0,6.9
2011,Winston-Govans,258.0,10.6
2017,Winston-Govans,258.0,5.7
2008,Woodberry,259.0,8.6
2011,Woodberry,259.0,8.1
2017,Woodberry,259.0,6.9
2008,Belvedere,270.0,16.1
2011,Belvedere,270.0,12.5
2017,Belvedere,270.0,9.0
2008,Belair-Edison,275.0,8.4
2011,Belair-Edison,275.0,19.4
2017,Belair-Edison,275.0,10.1
2008,Charles Village,277.0,10.2
2011,Charles Village,277.0,12.9
2017,Charles Village,277.0,11.4
